Cuisine,NumberOfReviews,Rating,RestaurantID,bestAnswer,score
Chinese,28,4,nXh79laNQ7leN92F5Ore-Q,0,2.40E-01
Chinese,48,3,svvP8Thiit_8TX-Lfeecrw,0,1.47E-03
Chinese,105,3,rJeh77RIvtmISisvVoy6TA,0,1.47E-03
Chinese,30,3.5,ziwipi8JK_ik4mLaw1fTGw,0,2.40E-01
Chinese,630,3.5,kWJF8L1u5jdlkLBItUu16w,0,4.12E-01
Chinese,10,4.5,b7uTP_afs5Gkf66K7yDl-w,1,9.97E-01
Chinese,357,3.5,dpCSDy9uefOEcY44FHss2Q,0,1.61E-01
Chinese,7,4,gqUR7hd3NsxOD_JrD-iFfQ,0,2.40E-01
Chinese,1094,3.5,SyvC0s3y0ZrtnLbwnvw7tw,0,3.23E-01
Chinese,45,3.5,6gE9N5wD4K-bbmSEBm7Lhw,0,2.40E-01
Chinese,47,4.5,MzA6gitJKqfW4VrdS7AiQw,1,9.97E-01
Chinese,18,3.5,FVfQVQAcGDVFaBlrFaLkUg,0,2.40E-01
Chinese,58,4,GMICEb3dqMcVftIHzh1DiQ,0,2.40E-01
Chinese,2144,4,MhceeLrM2_3mcKw5EGLY6A,0,2.93E-01
Chinese,80,4,pb_cHcy8D8UC-jQ-Q524ug,0,2.40E-01
Chinese,575,3.5,RTFIMX31BPeZzx7kJJ1SCA,0,3.17E-01
Chinese,12,4.5,2rSmA4IK51QAQj60YGvjnw,1,9.97E-01
Chinese,163,4,VpInBiE272MaN1Hi0DA-Zw,0,2.40E-01
Chinese,172,3.5,Tb4aUIIy74xG9wLDEwpxdw,0,2.40E-01
Chinese,825,4,fPW_GBZsnBNsIzK62sCHBg,0,1.90E-01
Chinese,170,3,bSi2f2TaOr4RVTI5eFt0wQ,0,1.47E-03
Chinese,1616,4.5,#NAME?,1,9.97E-01
Chinese,17,4.5,Xr8jXXafb0tG5oAoS07Jbg,1,9.97E-01
Chinese,49,2.5,j9LAlbSiqGlvfAOt8LRRzQ,0,3.96E-02
Chinese,2019,3.5,x_t-FtDa5HVgc-wecp0HBg,0,3.06E-01
Chinese,46,3.5,oFBgvlELwMtvqA0gcGr96g,0,2.40E-01
Chinese,32,3,ECKMWJwm_sihRQIP1ydeOA,0,1.47E-03
Chinese,54,3.5,owKe1hapqCCLnme2Xr3mrA,0,2.40E-01
Chinese,18,4.5,6kBMtBA9opJxZv01fiAnvg,1,9.97E-01
Chinese,18,3.5,O2jCWIOWb-IhyZGZLTNNoA,0,2.40E-01
Chinese,164,3.5,jpK6MMfLJwLXCzTeywyNNA,0,2.40E-01
Chinese,21,4,5u4T6-Z-KhHrRZ9g54pugQ,0,2.40E-01
Chinese,17,3,entLjafiBAYOvbJYHRvyrw,0,1.47E-03
Chinese,71,3,pmJqb7-EckluXUk6Rtml6A,0,1.47E-03
Chinese,51,3,J9kON4T_XtDPDk6jRoR5xA,0,1.47E-03
Chinese,121,4,#NAME?,0,2.40E-01
Chinese,104,3,kYJbGSjyXocbRrgMV-zExg,0,1.47E-03
Chinese,104,3,dSaMEWm0EQTG4TOeUetU5w,0,1.47E-03
Chinese,13,3,2dmgtQTFM7koKllEQsZmhQ,0,1.47E-03
Chinese,50,3,51DwJDP5TOlsCQYc0GQdVQ,0,1.47E-03
Chinese,46,3,PUwrkoUztUYs4VdHlK9qBg,0,1.47E-03
Chinese,255,4,_XLLSXPIjgoZQtwU3RCcQA,0,2.40E-01
Chinese,11,3.5,4XXzwYA8Ng1pOLSov_srDg,0,2.40E-01
Chinese,29,3.5,Yo6D3B8TP_xdN1yaoNc0Ww,0,2.40E-01
Chinese,20,3,nrsWSUJdNtOhV2UzPi-oOQ,0,1.47E-03
Chinese,70,3,WgQkB7cbPNgj0pLin7gQtw,0,1.47E-03
Chinese,84,4,JjzCmRn3q8JrlwHx8nFhAA,0,2.40E-01
Chinese,12,3.5,QFjyGK3DtTGJ9-g8E7ofCw,0,2.40E-01
Chinese,551,4,xH7mEjh4Rn6KdHjXYNoOjw,0,3.17E-01
Chinese,156,3.5,aije_BqBVVl-6T13QsnRqQ,0,2.40E-01
Chinese,89,4,BkXb82Y2OIsQ5RpNNQOYmQ,0,2.40E-01
Chinese,9,4,b03GEE_pYlLCdD6yShZKqw,0,2.40E-01
Chinese,33,2.5,TxaxeiUqQqcFrWrerNqgXw,0,3.96E-02
Chinese,14,4,Aeiyyowii5GBL9Y-SjTxvg,0,2.40E-01
Chinese,139,3.5,bAPDGHHaLZs-XEFk7ZXGVA,0,2.40E-01
Chinese,49,5,f7QVr9xC8UWXdVz9QvbmNg,0,2.40E-01
Chinese,261,3.5,bGOZTD9O00OkVA1Pkt3OuQ,0,1.36E-01
Chinese,23,4.5,fgGRIM0b9JGIoNOAnHzROQ,1,9.97E-01
Chinese,456,3.5,rGuXwUtNoDp0_GmspjYwcA,0,2.72E-01
Chinese,138,4.5,HnTcWZbZJzNAYO8YseQlSQ,1,9.97E-01
Chinese,5,5,z2ffmGBEhNUrmYEAWGx1Vw,0,2.40E-01
